school381;	Milwaukee Institute of Art & Design
school382;	Missouri Southern State University
school383;	Mount Mercy University
school384;	North Central College
school385;	University of Northern Iowa
school386;	Northwestern College
school387;	University of Northwestern St. Paul
school388;	Northwood University
school389;	Notre Dame College
school390;	Oakland City University
school391;	Ohio University
school392;	Ohio Wesleyan University
school393;	Rockford University
school394;	University of St. Francis
school395;	St. Joseph's College
school396;	Saint Mary's College
school397;	College of St. Scholastica
school398;	Saint Xavier University
school399;	Columbia University
school400;	Connecticut College
school401;	University of Connecticut
school402;	John Jay College of Criminal Justice
school403;	Dartmouth College
school404;	College of Staten Island (City University of New York)
school405;	City College of New York
school406;	Daemen College
school407;	Drexel University
school408;	Duquesne University
school409;	Edinboro University of Pennsylvania
school410;	Elmira College
school411;	Elms College
school412;	Framingham State University
school413;	Franklin Pierce University
school414;	Hamilton College
school415;	Hampshire College
school416;	University of Hartford
school417;	Hobart and William Smith Colleges
school418;	Hofstra University
school419;	Holy Family University
school420;	Immaculata University
school421;	Grand Valley State University
school422;	Indiana University - Purdue University Fort Wayne
school423;	Indiana University of Pennsylvania
school424;	Kutztown University of Pennsylvania
school425;	La Roche College
school426;	La Salle University
school427;	Lebanon Valley College
school428;	Le Moyne College
school429;	Lesley University
school430;	Lock Haven University of Pennsylvania
school431;	Lycoming College
school432;	New England Conservatory of Music
school433;	University of New Hampshire
school434;	University of New Haven
school435;	College of New Rochelle
school436;	New York University
school437;	Massachusetts College of Liberal Arts
school438;	Norwich University
school439;	Iona College
school440;	LIU Post
school441;	Juniata College
school442;	Houghton College
school443;	Husson University
school444;	Harvard College
school445;	Grove City College
school446;	Gordon College
school447;	Geneva College
school448;	Medgar Evers College (City University of New York)
school449;	Emmanuel College
school450;	Emerson College
school451;	Eastern Nazarene College
school452;	Fairfield University
school453;	Brandeis University
school454;	College of Saint Benedict
school455;	Eastern Connecticut State University
school456;	Northeastern University
school457;	Alma College
school458;	Avila University
school459;	Augustana College
school460;	School of the Art Institute of Chicago
school461;	Anderson University
school462;	Andrews University
school463;	Aurora University
school464;	Art Academy of Cincinnati
school465;	Alabama State University
school466;	Alabama A University
school467;	University of Alabama at Birmingham
school468;	University of Alabama in Huntsville
school469;	University of Alabama
school470;	Albany State University
school471;	Alice Lloyd College
school472;	Alcorn State University
school473;	Alderson-Broaddus College
school474;	Lyon College
school475;	American University
school476;	Appalachian State University
school477;	Arkansas State University
school478;	Arkansas Tech University
school479;	University of Arkansas
school480;	University of Arkansas at Little Rock
school481;	University of Arkansas at Monticello
school482;	University of Arkansas at Pine Bluff
school483;	Armstrong Atlantic State University
school484;	Asbury University
school486;	Barton College
school487;	Baptist College of Florida
school488;	Auburn University
school489;	Auburn University at Montgomery
school491;	Austin Peay State University
school492;	Averett University
school493;	University of Baltimore
school494;	Charleston Southern University
school495;	Barry University
school496;	Belhaven University
school497;	Bellarmine University
school498;	Belmont Abbey College
school499;	Belmont University
school500;	Benedict College
school501;	Bennett College
school502;	Berea College
school503;	Berry College
school504;	Bethany College
school505;	Bethel University
school506;	Bethune-Cookman University
school507;	Birmingham-Southern College
school508;	Blue Mountain College
school509;	Bluefield College
school510;	Bluefield State College
school511;	Lynn University
school512;	Bowie State University
school513;	Brenau University
school514;	Brescia University
school515;	Bryan College
school516;	New York School of Interior Design
school517;	University of New Hampshire at Manchester
school518;	Southeastern Baptist Theological Seminary
school520;	Mt. Sierra College
school521;	Everest University - Melbourne
school522;	Culinary Institute of America
school523;	Jones College
school524;	Paier College of Art
school525;	Schiller International University
school526;	Brevard College
school527;	Florida College
school528;	South University - Savannah
school531;	Charles R. Drew University of Medicine and Science
school534;	Florida Gulf Coast University
